sec,nanosec,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
1772619201,498797170,0.4008458890419079,-0.05828181757732857,0.44797331423427844,-0.3648537693043323,0.46427746569697625,-0.1888972165275915,0.43048831820487976,-0.033430274575948715,-0.0771399661898613,-0.08769100904464722
1772619201,548756236,0.4008458890419079,-0.05828181757732857,0.4527827527565087,-0.35564363856952896,0.46414067630413336,-0.1908815324429149,0.4305900037288666,-0.03335840255022049,-0.07514144480228424,-0.08573202788829803
1772619201,598798022,0.4008458890419079,-0.05828181757732857,0.4527827527565087,-0.35564363856952896,0.46414067630413336,-0.1908815324429149,0.43047279119491577,-0.03339076414704323,-0.0724201500415802,-0.08327765762805939
1772619201,648846060,0.4008458890419079,-0.05828181757732857,0.4527827527565087,-0.35564363856952896,0.46414067630413336,-0.1908815324429149,0.430462509393692,-0.03340822830796242,-0.07443953305482864,-0.0846245139837265
1772619201,698765008,0.4008458890419079,-0.05828181757732857,0.4527827527565087,-0.35564363856952896,0.46414067630413336,-0.1908815324429149,0.4304830729961395,-0.033423762768507004,-0.07089230418205261,-0.08142860978841782
1772619201,748915259,0.4008458890419079,-0.05828181757732857,0.4527827527565087,-0.35564363856952896,0.46414067630413336,-0.1908815324429149,0.430499404668808,-0.033372800797224045,-0.07344259321689606,-0.08436465263366699
1772619201,798815047,0.4008458890419079,-0.05828181757732857,0.4521851895718821,-0.3536174263397164,0.46399890929453386,-0.19281123899095676,0.4304697811603546,-0.033406179398298264,-0.06914809346199036,-0.08003372699022293
1772619201,848807721,0.4008458890419079,-0.05828181757732857,0.4521851895718821,-0.3536174263397164,0.46399890929453386,-0.19281123899095676,0.43045639991760254,-0.033409394323825836,-0.06817179918289185,-0.07913652062416077
1772619201,898769994,0.4008458890419079,-0.05828181757732857,0.4521851895718821,-0.3536174263397164,0.46399890929453386,-0.19281123899095676,0.430489182472229,-0.03340357169508934,-0.07014578580856323,-0.08129047602415085
1772619201,948770468,0.4008458890419079,-0.05828181757732857,0.4589234772447994,-0.3395796376629717,0.4639391331903011,-0.1945398096842738,0.43058353662490845,-0.03336894512176514,-0.06897982954978943,-0.0800662487745285
1772619201,998771333,0.4008458890419079,-0.05828181757732857,0.4589234772447994,-0.3395796376629717,0.4639391331903011,-0.1945398096842738,0.4304737150669098,-0.033393844962120056,-0.06786288321018219,-0.07930485904216766
1772619202,48768141,0.4008458890419079,-0.05828181757732857,0.4589234772447994,-0.3395796376629717,0.4639391331903011,-0.1945398096842738,0.4304729998111725,-0.033404938876628876,-0.06711076945066452,-0.07810042798519135
1772619202,98855744,0.4008458890419079,-0.05828181757732857,0.4589234772447994,-0.3395796376629717,0.4639391331903011,-0.1945398096842738,0.43049106001853943,-0.033422794193029404,-0.06303329765796661,-0.07474948465824127
1772619202,148816414,0.4008458890419079,-0.05828181757732857,0.4589234772447994,-0.3395796376629717,0.4639391331903011,-0.1945398096842738,0.4305741488933563,-0.033376842737197876,-0.06562016904354095,-0.0765128806233406
1772619202,198845835,0.4008458890419079,-0.05828181757732857,0.4674721050096335,-0.3329581700398095,0.4639805346259601,-0.19616187720514336,0.4304819107055664,-0.03339412808418274,-0.06086977943778038,-0.07292655110359192
1772619202,248799156,0.4008458890419079,-0.05828181757732857,0.4674721050096335,-0.3329581700398095,0.4639805346259601,-0.19616187720514336,0.4304733872413635,-0.03341839835047722,-0.06357084214687347,-0.07419538497924805
1772619202,298923969,0.4008458890419079,-0.05828181757732857,0.4674721050096335,-0.3329581700398095,0.4639805346259601,-0.19616187720514336,0.43049928545951843,-0.033412519842386246,-0.058474864810705185,-0.07082181423902512
1772619202,348708900,0.4008458890419079,-0.05828181757732857,0.4674721050096335,-0.3329581700398095,0.4639805346259601,-0.19616187720514336,0.43058711290359497,-0.03334695100784302,-0.0571642741560936,-0.07002146542072296
1772619202,398872161,0.4008458890419079,-0.05828181757732857,0.4674815252631775,-0.32112153938004034,0.4640213596885926,-0.197619032211669,0.43047672510147095,-0.033399101346731186,-0.056011974811553955,-0.06934475898742676
1772619202,448696239,0.4008458890419079,-0.05828181757732857,0.4674815252631775,-0.32112153938004034,0.4640213596885926,-0.197619032211669,0.4304620623588562,-0.03340921923518181,-0.05767793953418732,-0.07096191495656967
1772619202,498761723,0.4008458890419079,-0.05828181757732857,0.4674815252631775,-0.32112153938004034,0.4640213596885926,-0.197619032211669,0.4304924011230469,-0.03341872617602348,-0.05342622846364975,-0.06763162463903427
1772619202,548862173,0.4008458890419079,-0.05828181757732857,0.4488572720287456,-0.3025131725197864,0.46384538421710236,-0.19883630266086064,0.4305102229118347,-0.03337682783603668,-0.05216767638921738,-0.06648733466863632
1772619202,598796934,0.4008458890419079,-0.05828181757732857,0.4488572720287456,-0.3025131725197864,0.46384538421710236,-0.19883630266086064,0.4304758608341217,-0.03341911733150482,-0.050885945558547974,-0.06543150544166565
1772619202,648916091,0.4008458890419079,-0.05828181757732857,0.4488572720287456,-0.3025131725197864,0.46384538421710236,-0.19883630266086064,0.4304620623588562,-0.03342394158244133,-0.04956556111574173,-0.0642169713973999
1772619202,698796556,0.4008458890419079,-0.05828181757732857,0.4488572720287456,-0.3025131725197864,0.46384538421710236,-0.19883630266086064,0.43048447370529175,-0.03342604264616966,-0.04837776720523834,-0.06372174620628357
1772619202,748882377,0.4008458890419079,-0.05828181757732857,0.4488572720287456,-0.3025131725197864,0.46384538421710236,-0.19883630266086064,0.43056997656822205,-0.033377714455127716,-0.04714009165763855,-0.06285928934812546
1772619202,798784191,0.4008458890419079,-0.05828181757732857,0.4800077630854844,-0.29923127147431605,0.46403205638256867,-0.1999958439872303,0.4304720461368561,-0.033402200788259506,-0.04614496976137161,-0.06169949844479561
1772619202,848850434,0.4008458890419079,-0.05828181757732857,0.4800077630854844,-0.29923127147431605,0.46403205638256867,-0.1999958439872303,0.4304591715335846,-0.033400654792785645,-0.0449533686041832,-0.06084682047367096
1772619202,898871411,0.4008458890419079,-0.05828181757732857,0.4800077630854844,-0.29923127147431605,0.46403205638256867,-0.1999958439872303,0.4305008053779602,-0.03340873867273331,-0.04342198371887207,-0.05932696536183357
1772619202,948918921,0.4008458890419079,-0.05828181757732857,0.4800077630854844,-0.29923127147431605,0.46403205638256867,-0.1999958439872303,0.4305090308189392,-0.033376406878232956,-0.04216093569993973,-0.058182187378406525
1772619202,998799013,0.4008458890419079,-0.05828181757732857,0.46810898465996725,-0.2644795548605722,0.4640790048222366,-0.2007384152083827,0.4304739236831665,-0.03340432047843933,-0.04108908772468567,-0.05743294209241867
1772619203,48847885,0.4008458890419079,-0.05828181757732857,0.46810898465996725,-0.2644795548605722,0.4640790048222366,-0.2007384152083827,0.4304826557636261,-0.0333988331258297,-0.039597541093826294,-0.056370146572589874
1772619203,98909867,0.4008458890419079,-0.05828181757732857,0.46810898465996725,-0.2644795548605722,0.4640790048222366,-0.2007384152083827,0.43049877882003784,-0.03340749442577362,-0.03807678073644638,-0.055705249309539795
1772619203,148806954,0.4008458890419079,-0.05828181757732857,0.46810898465996725,-0.2644795548605722,0.4640790048222366,-0.2007384152083827,0.43056219816207886,-0.03337390720844269,-0.03676871210336685,-0.0549369677901268
